anchor_id	facet	value	notes
PRPP	molecular_tier	small_molecule	
IMP	molecular_tier	small_molecule	
AMP	molecular_tier	small_molecule	
GMP	molecular_tier	small_molecule	
GLUTAMINE	molecular_tier	small_molecule	
UMP	molecular_tier	small_molecule	
UTP	molecular_tier	small_molecule	
CTP	molecular_tier	small_molecule	
PG3	molecular_tier	small_molecule	
SERINE	molecular_tier	small_molecule	
GLYCINE	molecular_tier	small_molecule	
CYSTEINE	molecular_tier	small_molecule	
SULFIDE	molecular_tier	small_molecule	
ASPARTATE	molecular_tier	small_molecule	
ASA	molecular_tier	small_molecule	
HOMOSERINE	molecular_tier	small_molecule	
THREONINE	molecular_tier	small_molecule	
METHIONINE	molecular_tier	small_molecule	
HOMOCYSTEINE	molecular_tier	small_molecule	
FUCOSE	molecular_tier	monomer	
RHAMNOSE	molecular_tier	monomer	
GALACTOSE	molecular_tier	monomer	
GLCNAC	molecular_tier	monomer	
NEUAC	molecular_tier	monomer	
GLUCURONATE	molecular_tier	monomer	
GALACTURONATE	molecular_tier	monomer	
XYLULOSE_5P	molecular_tier	small_molecule	
FRUCTOSE_6P	molecular_tier	small_molecule	
GLUCOSE_1P	molecular_tier	small_molecule	
DHAP	molecular_tier	small_molecule	
LACTALDEHYDE	molecular_tier	small_molecule	
PYRUVATE	molecular_tier	small_molecule	
GAP	molecular_tier	small_molecule	
XYLOSE_EX	molecular_tier	monomer	
XYLOSE_IN	molecular_tier	monomer	
ARABINOSE_EX	molecular_tier	monomer	
ARABINOSE_IN	molecular_tier	monomer	
ARABINOXYLAN	molecular_tier	polymer	
XYLAN	molecular_tier	polymer	
STARCH	molecular_tier	polymer	
GLUCOSE	molecular_tier	monomer	
PRPP	resource_origin	central_metabolism	
IMP	resource_origin	central_metabolism	
AMP	resource_origin	central_metabolism	
GMP	resource_origin	central_metabolism	
GLUTAMINE	resource_origin	central_metabolism	
UMP	resource_origin	central_metabolism	
UTP	resource_origin	central_metabolism	
CTP	resource_origin	central_metabolism	
PG3	resource_origin	central_metabolism	
SERINE	resource_origin	central_metabolism	
GLYCINE	resource_origin	central_metabolism	
CYSTEINE	resource_origin	central_metabolism	
SULFIDE	resource_origin	inorganic	
ASPARTATE	resource_origin	central_metabolism	
ASA	resource_origin	central_metabolism	
HOMOSERINE	resource_origin	central_metabolism	
THREONINE	resource_origin	central_metabolism	
METHIONINE	resource_origin	central_metabolism	
HOMOCYSTEINE	resource_origin	central_metabolism	
FUCOSE	resource_origin	host_derived	
RHAMNOSE	resource_origin	plant_derived	
GALACTOSE	resource_origin	plant_derived	
GALACTOSE	resource_origin	host_derived	
GLCNAC	resource_origin	host_derived	
NEUAC	resource_origin	host_derived	
GLUCURONATE	resource_origin	plant_derived	
GALACTURONATE	resource_origin	plant_derived	
XYLULOSE_5P	resource_origin	central_metabolism	
FRUCTOSE_6P	resource_origin	central_metabolism	
GLUCOSE_1P	resource_origin	central_metabolism	
DHAP	resource_origin	central_metabolism	
LACTALDEHYDE	resource_origin	central_metabolism	
PYRUVATE	resource_origin	central_metabolism	
GAP	resource_origin	central_metabolism	
XYLOSE_EX	resource_origin	plant_derived	
XYLOSE_IN	resource_origin	plant_derived	
ARABINOSE_EX	resource_origin	plant_derived	
ARABINOSE_IN	resource_origin	plant_derived	
ARABINOXYLAN	resource_origin	plant_derived	
XYLAN	resource_origin	plant_derived	
STARCH	resource_origin	plant_derived	
GLUCOSE	resource_origin	plant_derived	
GLUCOSE	resource_origin	host_derived	
PRPP	biomass_essential	no	
IMP	biomass_essential	no	
AMP	biomass_essential	yes	
GMP	biomass_essential	yes	
GLUTAMINE	biomass_essential	no	
UMP	biomass_essential	yes	
UTP	biomass_essential	no	
CTP	biomass_essential	yes	
PG3	biomass_essential	no	
SERINE	biomass_essential	yes	
GLYCINE	biomass_essential	yes	
CYSTEINE	biomass_essential	yes	
SULFIDE	biomass_essential	no	
ASPARTATE	biomass_essential	no	
ASA	biomass_essential	no	
HOMOSERINE	biomass_essential	no	
THREONINE	biomass_essential	yes	
METHIONINE	biomass_essential	yes	
HOMOCYSTEINE	biomass_essential	no	
FUCOSE	biomass_essential	no	
RHAMNOSE	biomass_essential	no	
GALACTOSE	biomass_essential	no	
GLCNAC	biomass_essential	no	
NEUAC	biomass_essential	no	
GLUCURONATE	biomass_essential	no	
GALACTURONATE	biomass_essential	no	
XYLULOSE_5P	biomass_essential	no	
FRUCTOSE_6P	biomass_essential	no	
GLUCOSE_1P	biomass_essential	no	
DHAP	biomass_essential	no	
LACTALDEHYDE	biomass_essential	no	
PYRUVATE	biomass_essential	no	
GAP	biomass_essential	no	
XYLOSE_EX	biomass_essential	no	
XYLOSE_IN	biomass_essential	no	
ARABINOSE_EX	biomass_essential	no	
ARABINOSE_IN	biomass_essential	no	
ARABINOXYLAN	biomass_essential	no	
XYLAN	biomass_essential	no	
STARCH	biomass_essential	no	
GLUCOSE	biomass_essential	no	
COLLAGEN	molecular_tier	polymer	
COLLAGEN_PEPTIDES	molecular_tier	peptide	
COLLAGEN	resource_origin	host_derived	
COLLAGEN	resource_origin	animal_derived	
COLLAGEN_PEPTIDES	resource_origin	host_derived	
COLLAGEN_PEPTIDES	resource_origin	animal_derived	
COLLAGEN	biomass_essential	no	
COLLAGEN_PEPTIDES	biomass_essential	no	
