architecture_id	function_id	ordinal	required
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_EXPORT_GATE	1	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_EXPORT_ATPASE	2	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_MS_RING	3	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_ROD	4	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_OUTER_RING	5	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_C_RING	6	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_HOOK	7	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_HOOK_FILAMENT_JUNCTION	8	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_FILAMENT	9	1
ARCH_FLAGELLUM_DIDERM	SF_FLAGELLAR_STATOR	10	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_EXPORT_GATE	1	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_EXPORT_ATPASE	2	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_MS_RING	3	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_ROD	4	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_C_RING	5	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_HOOK	6	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_HOOK_FILAMENT_JUNCTION	7	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_FILAMENT	8	1
ARCH_FLAGELLUM_MONODERM	SF_FLAGELLAR_STATOR	9	1
ARCH_T4AP_CORE	SF_T4AP_PREPILIN_PEPTIDASE	1	1
ARCH_T4AP_CORE	SF_T4AP_MAJOR_PILIN	2	1
ARCH_T4AP_CORE	SF_T4AP_ASSEMBLY_ATPASE	3	1
ARCH_T4AP_CORE	SF_T4AP_PLATFORM	4	1
ARCH_T4AP_CORE	SF_T4AP_ALIGNMENT_COMPLEX	5	1
ARCH_T4AP_CORE	SF_T4AP_SECRETIN	6	1
ARCH_T4AP_CORE	SF_T4AP_RETRACTION_ATPASE	7	0
