component_id	namespace	accession	evidence_type	confidence	source	notes
COMP_14905_CATALYTIC	KO	K00764	orthology	curated	KEGG M00048 2026-08-17	
COMP_17453_CATALYTIC	KO	K01945	orthology	curated	KEGG M00048 2026-08-17	
COMP_17453_CATALYTIC	KO	K11787	orthology	curated	KEGG M00048 2026-08-17	Multifunctional protein.
COMP_17453_CATALYTIC	KO	K11788	orthology	curated	KEGG M00048 2026-08-17	Multifunctional protein.
COMP_17453_CATALYTIC	KO	K13713	orthology	curated	KEGG M00048 2026-08-17	Fusion protein.
COMP_15053_CATALYTIC	KO	K00601	orthology	curated	KEGG M00048 2026-08-17	
COMP_15053_CATALYTIC	KO	K11175	orthology	curated	KEGG M00048 2026-08-17	
COMP_15053_CATALYTIC	KO	K11787	orthology	curated	KEGG M00048 2026-08-17	Multifunctional protein.
COMP_15053_CATALYTIC	KO	K01492	orthology	curated	KEGG M00048 2026-08-17	
COMP_24829_CATALYTIC	KO	K08289	orthology	curated	KEGG M00048 2026-08-17	
COMP_17129_LARGE	KO	K01952	orthology	curated	KEGG M00048 2026-08-17	
COMP_17129_TRI_A	KO	K23269	orthology	curated	KEGG M00048 2026-08-17	
COMP_17129_TRI_B	KO	K23264	orthology	curated	KEGG M00048 2026-08-17	
COMP_17129_TRI_C	KO	K23265	orthology	curated	KEGG M00048 2026-08-17	
COMP_17129_DI_A	KO	K23270	orthology	curated	KEGG M00048 2026-08-17	
COMP_17129_DI_B	KO	K23265	orthology	curated	KEGG M00048 2026-08-17	
COMP_23032_CATALYTIC	KO	K01933	orthology	curated	KEGG M00048 2026-08-17	
COMP_23032_CATALYTIC	KO	K11787	orthology	curated	KEGG M00048 2026-08-17	Multifunctional protein.
COMP_23032_CATALYTIC	KO	K11788	orthology	curated	KEGG M00048 2026-08-17	Multifunctional protein.
COMP_10792_CATALYTIC	KO	K01587	orthology	curated	KEGG M00048 2026-08-17	
COMP_10792_CATALYTIC	KO	K11808	orthology	curated	KEGG M00048 2026-08-17	
COMP_19317_CATALYTIC	KO	K01589	orthology	curated	KEGG M00048 2026-08-17	
COMP_13193_CATALYTIC	KO	K01588	orthology	curated	KEGG M00048 2026-08-17	
COMP_22628_CATALYTIC	KO	K01923	orthology	curated	KEGG M00048 2026-08-17	
COMP_22628_CATALYTIC	KO	K01587	orthology	curated	KEGG M00048 2026-08-17	Multifunctional protein.
COMP_22628_CATALYTIC	KO	K13713	orthology	curated	KEGG M00048 2026-08-17	Fusion protein.
COMP_23920_CATALYTIC	KO	K01756	orthology	curated	KEGG M00048 2026-08-17	
COMP_22192_CATALYTIC	KO	K00602	orthology	curated	KEGG M00048 2026-08-17	Bifunctional protein.
COMP_22192_CATALYTIC	KO	K01492	orthology	curated	KEGG M00048 2026-08-17	
COMP_24836_CATALYTIC	KO	K06863	orthology	curated	KEGG M00048 2026-08-17	
COMP_18445_CATALYTIC	KO	K00602	orthology	curated	KEGG M00048 2026-08-17	Bifunctional protein.
COMP_18445_CATALYTIC	KO	K11176	orthology	curated	KEGG M00048 2026-08-17	
COMP_15753_CATALYTIC	KO	K01939	orthology	curated	KEGG M00049 2026-08-17	Only the IMP-to-adenylosuccinate reaction is used.
COMP_16853_CATALYTIC	KO	K01756	orthology	curated	KEGG M00049 2026-08-17	Only the adenylosuccinate-to-AMP reaction is used.
COMP_11708_CATALYTIC	KO	K00088	orthology	curated	KEGG M00050 2026-08-17	Only the IMP-to-XMP reaction is used; downstream shared nucleotide phosphorylation is excluded.
COMP_11680_CATALYTIC	KO	K01951	orthology	curated	KEGG M00050 2026-08-17	The complete glutamine-dependent XMP-to-GMP reaction is used.
COMP_18633_MONOMER	KO	K11540	orthology	curated	KEGG M00051 2026-08-17	Multifunctional CAD protein; only the carbamoyl-phosphate synthase reaction is used here.
COMP_18633_MONOMER	KO	K11541	orthology	curated	KEGG M00051 2026-08-17	Multifunctional protein; only the carbamoyl-phosphate synthase reaction is used here.
COMP_18633_MONOMER	KO	K01954	orthology	curated	KEGG M00051 2026-08-17	Single-protein carbamoyl-phosphate synthase architecture.
COMP_18633_LARGE	KO	K01955	orthology	curated	KEGG M00051 2026-08-17	Required large subunit.
COMP_18633_SMALL	KO	K01956	orthology	curated	KEGG M00051 2026-08-17	Required small subunit.
COMP_20013_MONOMER	KO	K11540	orthology	curated	KEGG M00051 2026-08-17	Multifunctional CAD protein; only the aspartate carbamoyltransferase reaction is used here.
COMP_20013_MONOMER	KO	K11541	orthology	curated	KEGG M00051 2026-08-17	Multifunctional protein; only the aspartate carbamoyltransferase reaction is used here.
COMP_20013_MONOMER	KO	K00608	orthology	curated	KEGG M00051 2026-08-17	Single-protein aspartate carbamoyltransferase architecture.
COMP_20013_CATALYTIC	KO	K00609	orthology	curated	KEGG M00051 2026-08-17	Required catalytic subunit.
COMP_24296_CATALYTIC	KO	K11540	orthology	curated	KEGG M00051 2026-08-17	Multifunctional CAD protein; only the dihydroorotase reaction is used here.
COMP_24296_CATALYTIC	KO	K01465	orthology	curated	KEGG M00051 2026-08-17	Single-protein dihydroorotase architecture.
COMP_30059_CATALYTIC	KO	K00226	orthology	curated	KEGG M00051 2026-08-17	Fumarate-dependent reaction R01867.
COMP_30187_CATALYTIC	KO	K00254	orthology	curated	KEGG M00051 2026-08-17	Quinone-dependent reaction R01868.
COMP_13513_CATALYTIC	KO	K17828	orthology	curated	KEGG M00051 2026-08-17	NAD-dependent reaction R01869.
COMP_13513_ELECTRON	KO	K02823	orthology	curated	KEGG 2026-08-17	PyrK subunit of the class 1B holoenzyme; annotated to the same KEGG reaction R01869.
COMP_10380_CATALYTIC	KO	K13421	orthology	curated	KEGG M00051 2026-08-17	Bifunctional UMP synthase; only the orotate phosphoribosyltransferase reaction is used here.
COMP_10380_CATALYTIC	KO	K00762	orthology	curated	KEGG M00051 2026-08-17	Single-function orotate phosphoribosyltransferase.
COMP_11596_CATALYTIC	KO	K13421	orthology	curated	KEGG M00051 2026-08-17	Bifunctional UMP synthase; only the orotidine 5'-phosphate decarboxylase reaction is used here.
COMP_11596_CATALYTIC	KO	K01591	orthology	curated	KEGG M00051 2026-08-17	Single-function orotidine 5'-phosphate decarboxylase.
COMP_26426_CATALYTIC	KO	K01937	orthology	curated	KEGG M00052 2026-08-17	The complete glutamine-dependent UTP-to-CTP reaction is used; shared nucleotide phosphorylation is excluded.
COMP_12641_CATALYTIC	KO	K00058	orthology	curated	KEGG M00020 2026-08-17	
COMP_14329_CATALYTIC	KO	K00831	orthology	curated	KEGG M00020 2026-08-17	
COMP_21208_CATALYTIC	KO	K01079	orthology	curated	KEGG M00020 2026-08-17	
COMP_21208_CATALYTIC	KO	K02203	orthology	curated	KEGG M00020 2026-08-17	Bifunctional protein; the homoserine kinase activity is used by threonine biosynthesis.
COMP_21208_CATALYTIC	KO	K22305	orthology	curated	KEGG M00020 2026-08-17	
COMP_21208_CATALYTIC	KO	K25528	orthology	curated	KEGG M00020 2026-08-17	
COMP_15481_CATALYTIC	KO	K00600	orthology	curated	KEGG R00945 2026-08-17	Used in the serine-to-glycine direction; no KEGG module covers this capability.
COMP_23776_CATALYTIC	KO	K00928	orthology	curated	KEGG M00018 2026-08-17	
COMP_23776_CATALYTIC	KO	K12524	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein; only the aspartate kinase reaction is used here.
COMP_23776_CATALYTIC	KO	K12525	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein; only the aspartate kinase reaction is used here.
COMP_23776_CATALYTIC	KO	K12526	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein carrying EC 2.7.2.4; listed by M00018 but omitted from M00017, which is a KEGG inconsistency.
COMP_24284_CATALYTIC	KO	K00133	orthology	curated	KEGG M00018 2026-08-17	
COMP_15757_CATALYTIC	KO	K00003	orthology	curated	KEGG M00018 2026-08-17	
COMP_15757_CATALYTIC	KO	K12524	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein; only the homoserine dehydrogenase reaction is used here.
COMP_15757_CATALYTIC	KO	K12525	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein; only the homoserine dehydrogenase reaction is used here.
COMP_15761_CATALYTIC	KO	K00003	orthology	curated	KEGG M00018 2026-08-17	KEGG annotates the same orthologue to both cofactor reactions.
COMP_15761_CATALYTIC	KO	K12524	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein; only the homoserine dehydrogenase reaction is used here.
COMP_15761_CATALYTIC	KO	K12525	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein; only the homoserine dehydrogenase reaction is used here.
COMP_13985_CATALYTIC	KO	K00872	orthology	curated	KEGG M00018 2026-08-17	
COMP_13985_CATALYTIC	KO	K02204	orthology	curated	KEGG M00018 2026-08-17	
COMP_13985_CATALYTIC	KO	K02203	orthology	curated	KEGG M00018 2026-08-17	Bifunctional protein; the phosphoserine phosphatase activity is used by serine biosynthesis.
COMP_10840_CATALYTIC	KO	K01733	orthology	curated	KEGG M00018 2026-08-17	
COMP_22008_CATALYTIC	KO	K00651	orthology	curated	KEGG M00017 2026-08-17	KEGG assigns both R01776 and R01777 to this orthologue, so the acyl specificity is not recoverable at KO resolution.
COMP_22008_CATALYTIC	KO	K00641	orthology	curated	KEGG M00017 2026-08-17	KEGG assigns both R01776 and R01777 to this orthologue, so the acyl specificity is not recoverable at KO resolution.
COMP_13701_CATALYTIC	KO	K00641	orthology	curated	KEGG M00017 2026-08-17	KEGG assigns both R01776 and R01777 to this orthologue, so the acyl specificity is not recoverable at KO resolution.
COMP_13701_CATALYTIC	KO	K00651	orthology	curated	KEGG M00017 2026-08-17	KEGG assigns both R01776 and R01777 to this orthologue, so the acyl specificity is not recoverable at KO resolution.
COMP_20397_CATALYTIC	KO	K01739	orthology	curated	KEGG M00017 2026-08-17	
COMP_30931_CATALYTIC	KO	K01739	orthology	curated	KEGG R03217 2026-08-17	KEGG annotates the same orthologue to the O-acetylhomoserine chemistry.
COMP_80891_CATALYTIC	KO	K27857	orthology	curated	KEGG M00017 2026-08-17	
COMP_13965_CATALYTIC	KO	K01760	orthology	curated	KEGG M00017 2026-08-17	
COMP_13965_CATALYTIC	KO	K14155	orthology	curated	KEGG M00017 2026-08-17	
