function_id	name	description
DF_TYPE_I_RM_SPECIFICITY	type I restriction-modification target recognition	Recognition of the system's bipartite target sequence by the HsdS specificity subunit, which directs both the methyltransferase and the endonuclease. Which sequence is recognised is not claimed: HsdS specificity comes from variable target recognition domains that an orthology group does not resolve.
DF_TYPE_I_RM_MODIFICATION	type I restriction-modification host protection	Adenine methylation of the host's own target sites by HsdM, without which the system would cleave the genome that encodes it.
DF_TYPE_I_RM_RESTRICTION	type I restriction-modification DNA cleavage	ATP-dependent translocation and double-strand cleavage of unmethylated invading DNA by HsdR. It is required: a genome carrying only HsdM and HsdS has a methylation capability, which is real biology, but it defends against nothing and is not this claim.
DF_CRISPR_I_E_SURVEILLANCE	type I-E Cascade surveillance complex	The five-subunit Cascade complex that binds crRNA and scans DNA for a matching protospacer. All five subunits are jointly required; the complex does not assemble without them.
DF_CRISPR_I_E_INTERFERENCE_NUCLEASE	type I-E interference nuclease	Recruitment of the Cas3 nuclease-helicase by target-bound Cascade, and processive degradation of the target. K07475, which identifies only the HD nuclease module of a split Cas3, is not accepted: it does not evidence the complete nuclease-helicase.
DF_CRISPR_ADAPTATION	CRISPR spacer acquisition	Integration of new spacers by the Cas1-Cas2 integrase complex. It is accessory because a system can interfere using the spacers it already has, and cas1/cas2 are lost from many otherwise intact loci.
DF_MER_HG_REDUCTION	mercuric ion reduction	Two-electron reduction of Hg(II) to elemental Hg(0) by the NADPH-dependent flavin disulfide oxidoreductase MerA, which removes the thiol-reactive species from the cytoplasm and releases a volatile product. It is the only required function of the mechanism: a genome carrying merA detoxifies the Hg(II) that reaches it, and how much reaches it is not something a genome sequence states.
DF_MER_HG_DELIVERY	mercuric ion delivery to the reductase	Capture of Hg(II) outside the cytoplasm and its passage across the inner membrane to MerA, by MerT with its periplasmic binding partner MerP, or by MerC or MerE alone. Accessory, because the transporters vary between lineages while merA does not, and because mercury reaches the cytoplasm without them.
DF_MER_HG_INDUCTION	mercury-responsive induction of the operon	Activation of the operon promoter by the Hg(II)-sensing MerR-family activator, which holds the promoter in a repressed complex until it binds the metal. It belongs to this mechanism rather than being a regulatory GIFT because its only output is this operon, and it is accessory because MerA reduces mercury whether or not a curatable activator is present. MerD (K19057) is deliberately not accepted as evidence: it modulates MerR-driven transcription as a co-regulator rather than activating the promoter itself, and as an alternative on this component it would let a genome carrying no activator claim induction.
DF_MER_ORGANOMERCURIAL_LYSIS	organomercurial carbon-mercury bond lysis	Protonolysis of the carbon-mercury bond of an organomercurial such as phenylmercury by the lyase MerB, releasing Hg(II) for MerA to reduce. Accessory: it widens the range of mercury species the mechanism handles, it is absent from most mer operons, and whether broad-spectrum resistance should instead be a second mechanism is an open question rather than a decided one.
DF_MG_GLYOXALASE_I	methylglyoxal capture as S-lactoylglutathione	Glyoxalase I converts the spontaneously formed methylglyoxal-glutathione hemithioacetal to S-lactoylglutathione. The chemistry is reverse RHEA:19069. This function alone has not regenerated glutathione and is not the complete mechanism.
DF_MG_GLYOXALASE_II	S-lactoylglutathione hydrolysis	Glyoxalase II hydrolyses S-lactoylglutathione to D-lactate and regenerates glutathione, forward RHEA:25245. D-lactate oxidation is downstream metabolism and is not required.
DF_SUPEROXIDE_REMOVAL	superoxide conversion to hydrogen peroxide	Removal of superoxide by dismutation, RHEA:20696. Fe/Mn and Cu/Zn SODs are alternative systems. The function deliberately excludes nickel SOD without its maturation protease and superoxide reductase without a curated electron-delivery architecture.
DF_PEROXIDE_REMOVAL	hydrogen peroxide removal	Removal of the hydrogen peroxide produced by the first function. Catalases use RHEA:20309; the AhpC/AhpF alternative is represented by the generic hydroperoxide chemistry RHEA:62620 and requires both proteins. A generic peroxiredoxin alone is insufficient.
