system_id	function_id	name	description
SYS_DF_HSDS	DF_TYPE_I_RM_SPECIFICITY	HsdS specificity subunit	Single protein.
SYS_DF_HSDM	DF_TYPE_I_RM_MODIFICATION	HsdM methyltransferase	Single protein.
SYS_DF_HSDR	DF_TYPE_I_RM_RESTRICTION	HsdR restriction subunit	Single protein.
SYS_DF_CASCADE_I_E	DF_CRISPR_I_E_SURVEILLANCE	type I-E Cascade	CasA, CasB, CasC, CasD and CasE, jointly required.
SYS_DF_CAS3	DF_CRISPR_I_E_INTERFERENCE_NUCLEASE	Cas3 nuclease-helicase	Single fused protein.
SYS_DF_CAS1_CAS2	DF_CRISPR_ADAPTATION	Cas1-Cas2 integrase	Both proteins jointly required.
SYS_DF_MERA	DF_MER_HG_REDUCTION	MerA mercuric reductase	Single catalytic protein.
SYS_DF_MERTP	DF_MER_HG_DELIVERY	MerT-MerP transport pair	The inner-membrane transporter and its periplasmic binding protein, jointly required.
SYS_DF_MERC	DF_MER_HG_DELIVERY	MerC transporter	Single protein, an alternative to MerT-MerP.
SYS_DF_MERE	DF_MER_HG_DELIVERY	MerE transporter	Single protein, an alternative to MerT-MerP and the one that also carries organomercurials.
SYS_DF_MERR	DF_MER_HG_INDUCTION	MerR activator	Single protein.
SYS_DF_MERB	DF_MER_ORGANOMERCURIAL_LYSIS	MerB organomercurial lyase	Single catalytic protein.
SYS_DF_MG_GLOA	DF_MG_GLYOXALASE_I	GloA glyoxalase I	Single catalytic protein.
SYS_DF_MG_GLOB	DF_MG_GLYOXALASE_II	GloB glyoxalase II	Single catalytic protein.
SYS_DF_SOD_FEMN	DF_SUPEROXIDE_REMOVAL	Fe/Mn superoxide dismutase	Single catalytic protein; the KO does not distinguish iron from manganese but both catalyse the same reaction.
SYS_DF_SOD_CUZN	DF_SUPEROXIDE_REMOVAL	Cu/Zn superoxide dismutase	Single catalytic protein.
SYS_DF_CATALASE	DF_PEROXIDE_REMOVAL	monofunctional catalase	Single catalytic protein.
SYS_DF_KATG	DF_PEROXIDE_REMOVAL	catalase-peroxidase KatG	Single catalytic protein with catalase activity.
SYS_DF_MN_CATALASE	DF_PEROXIDE_REMOVAL	manganese catalase	Single catalytic protein.
SYS_DF_AHPCF	DF_PEROXIDE_REMOVAL	AhpC-AhpF peroxide-removal system	The peroxiredoxin catalytic subunit and its NADH-dependent reductase are jointly required.
