system_id	reaction_id	name	description
SYS_14905_PURF	RHEA:14905	amidophosphoribosyltransferase	Single catalytic protein system.
SYS_17453_MONOMER	RHEA:17453	phosphoribosylamine--glycine ligase	Single-protein catalytic system with alternative orthology markers.
SYS_15053_FOLATE	RHEA:15053	GAR transformylase	Single-protein folate-dependent catalytic system with alternative orthology markers.
SYS_24829_FORMATE	RHEA:24829	GAR formyltransferase 2	Single-protein formate-dependent catalytic system.
SYS_17129_LARGE	RHEA:17129	large-type FGAM synthase	Single-protein FGAM synthase architecture.
SYS_17129_TRIMER	RHEA:17129	small-type FGAM synthase trimeric system	Three required protein components.
SYS_17129_DIMER	RHEA:17129	small-type FGAM synthase two-component system	Two required protein components.
SYS_23032_AIR_SYNTHASE	RHEA:23032	AIR synthetase	Single-protein catalytic system with alternative orthology markers.
SYS_10792_DIRECT	RHEA:10792	direct AIR carboxylase	Single-protein direct carboxylation system.
SYS_19317_N5CAIR_SYNTHASE	RHEA:19317	N5-CAIR synthetase	First enzyme of the two-reaction AIR carboxylation route.
SYS_13193_N5CAIR_MUTASE	RHEA:13193	N5-CAIR mutase	Second enzyme of the two-reaction AIR carboxylation route.
SYS_22628_SAICAR	RHEA:22628	SAICAR synthetase	Single-protein catalytic system with alternative orthology markers.
SYS_23920_LYASE	RHEA:23920	SAICAR lyase	Single-protein catalytic system.
SYS_22192_FOLATE	RHEA:22192	AICAR transformylase	Single-protein folate-dependent catalytic system.
SYS_24836_FORMATE	RHEA:24836	FAICAR synthetase	Single-protein formate-dependent catalytic system.
SYS_18445_CYCLASE	RHEA:18445	IMP cyclohydrolase	Single-protein catalytic system with alternative orthology markers.
SYS_15753_ADSS	RHEA:15753	adenylosuccinate synthase	Single-protein catalytic system.
SYS_16853_ADSL	RHEA:16853	adenylosuccinate lyase	Single-protein catalytic system.
SYS_11708_IMPDH	RHEA:11708	IMP dehydrogenase	Single-protein catalytic system.
SYS_11680_GMP_SYNTHASE	RHEA:11680	GMP synthase	Single-protein glutamine-hydrolyzing catalytic system.
SYS_18633_MONOMER	RHEA:18633	monomeric carbamoyl-phosphate synthase	Single-protein catalytic system including multifunctional architectures.
SYS_18633_HETERODIMER	RHEA:18633	heterodimeric carbamoyl-phosphate synthase	Two required protein subunits.
SYS_20013_MONOMER	RHEA:20013	monomeric aspartate carbamoyltransferase	Single-protein catalytic system including multifunctional architectures.
SYS_20013_CATALYTIC	RHEA:20013	aspartate carbamoyltransferase catalytic subunit	Single-protein catalytic system; the PyrI regulatory subunit is allosteric and is not required evidence.
SYS_24296_DIHYDROOROTASE	RHEA:24296	dihydroorotase	Single-protein catalytic system including the multifunctional CAD architecture.
SYS_30059_FUMARATE	RHEA:30059	fumarate-dependent dihydroorotate dehydrogenase	Single-protein catalytic system.
SYS_30187_QUINONE	RHEA:30187	quinone-dependent dihydroorotate dehydrogenase	Single-protein catalytic system.
SYS_13513_NAD	RHEA:13513	NAD-dependent dihydroorotate dehydrogenase	Two required protein subunits of the class 1B holoenzyme.
SYS_10380_OPRT	RHEA:10380	orotate phosphoribosyltransferase	Single-protein catalytic system including bifunctional UMP synthase.
SYS_11596_OMP_DECARBOXYLASE	RHEA:11596	orotidine 5'-phosphate decarboxylase	Single-protein catalytic system including bifunctional UMP synthase.
SYS_26426_CTP_SYNTHASE	RHEA:26426	CTP synthase	Single-protein glutamine-hydrolyzing catalytic system.
SYS_12641_SERA	RHEA:12641	3-phosphoglycerate dehydrogenase	Single-protein catalytic system.
SYS_14329_SERC	RHEA:14329	phosphoserine aminotransferase	Single-protein catalytic system.
SYS_21208_PSP	RHEA:21208	phosphoserine phosphatase	Single-protein catalytic system with alternative orthology markers.
SYS_15481_SHMT	RHEA:15481	serine hydroxymethyltransferase	Single-protein catalytic system.
SYS_23776_AK	RHEA:23776	aspartate kinase	Single-protein catalytic system including bifunctional architectures.
SYS_24284_ASD	RHEA:24284	aspartate-semialdehyde dehydrogenase	Single-protein catalytic system.
SYS_15757_HOM_NAD	RHEA:15757	NAD-dependent homoserine dehydrogenase	Single-protein catalytic system including bifunctional aspartokinase architectures.
SYS_15761_HOM_NADP	RHEA:15761	NADP-dependent homoserine dehydrogenase	Single-protein catalytic system including bifunctional aspartokinase architectures.
SYS_13985_HSK	RHEA:13985	homoserine kinase	Single-protein catalytic system with alternative orthology markers.
SYS_10840_THRC	RHEA:10840	threonine synthase	Single-protein catalytic system.
SYS_22008_ACYLTRANSFERASE	RHEA:22008	homoserine O-succinyltransferase	Single-protein catalytic system; MetA and MetX orthologues are both accepted because KEGG assigns both acyl chemistries to both.
SYS_13701_ACYLTRANSFERASE	RHEA:13701	homoserine O-acetyltransferase	Single-protein catalytic system; MetA and MetX orthologues are both accepted because KEGG assigns both acyl chemistries to both.
