gift_id	anchor_id	role	ordinal
purine_core_biosynthesis	PRPP	input	1
purine_core_biosynthesis	IMP	output	1
adenylate_biosynthesis	IMP	input	1
adenylate_biosynthesis	AMP	output	1
guanylate_biosynthesis	IMP	input	1
guanylate_biosynthesis	GMP	output	1
pyrimidine_core_biosynthesis	GLUTAMINE	input	1
pyrimidine_core_biosynthesis	PRPP	input	2
pyrimidine_core_biosynthesis	UMP	output	1
cytidylate_biosynthesis	UTP	input	1
cytidylate_biosynthesis	CTP	output	1
serine_biosynthesis	PG3	input	1
serine_biosynthesis	SERINE	output	1
glycine_biosynthesis	SERINE	input	1
glycine_biosynthesis	GLYCINE	output	1
aspartate_semialdehyde_biosynthesis	ASPARTATE	input	1
aspartate_semialdehyde_biosynthesis	ASA	output	1
homoserine_biosynthesis	ASA	input	1
homoserine_biosynthesis	HOMOSERINE	output	1
threonine_biosynthesis	HOMOSERINE	input	1
threonine_biosynthesis	THREONINE	output	1
methionine_biosynthesis_transsulfuration	HOMOSERINE	input	1
methionine_biosynthesis_transsulfuration	CYSTEINE	input	2
methionine_biosynthesis_transsulfuration	METHIONINE	output	1
methionine_biosynthesis_sulfhydrylation	HOMOSERINE	input	1
methionine_biosynthesis_sulfhydrylation	SULFIDE	input	2
methionine_biosynthesis_sulfhydrylation	METHIONINE	output	1
cysteine_biosynthesis_sulfide	SERINE	input	1
cysteine_biosynthesis_sulfide	SULFIDE	input	2
cysteine_biosynthesis_sulfide	CYSTEINE	output	1
cysteine_biosynthesis_homocysteine	SERINE	input	1
cysteine_biosynthesis_homocysteine	HOMOCYSTEINE	input	2
cysteine_biosynthesis_homocysteine	CYSTEINE	output	1
xylose_degradation_isomerase	XYLOSE_IN	input	1
xylose_degradation_isomerase	XYLULOSE_5P	output	1
arabinose_degradation	ARABINOSE_IN	input	1
arabinose_degradation	XYLULOSE_5P	output	1
rhamnose_degradation	RHAMNOSE	input	1
rhamnose_degradation	DHAP	output	1
rhamnose_degradation	LACTALDEHYDE	output	2
fucose_degradation_isomerase	FUCOSE	input	1
fucose_degradation_isomerase	DHAP	output	1
fucose_degradation_isomerase	LACTALDEHYDE	output	2
galactose_degradation_leloir	GALACTOSE	input	1
galactose_degradation_leloir	GLUCOSE_1P	output	1
glcnac_degradation	GLCNAC	input	1
glcnac_degradation	FRUCTOSE_6P	output	1
neuac_degradation	NEUAC	input	1
neuac_degradation	FRUCTOSE_6P	output	1
galacturonate_degradation	GALACTURONATE	input	1
galacturonate_degradation	PYRUVATE	output	1
galacturonate_degradation	GAP	output	2
glucuronate_degradation	GLUCURONATE	input	1
glucuronate_degradation	PYRUVATE	output	1
glucuronate_degradation	GAP	output	2
xylose_uptake_abc	XYLOSE_EX	input	1
xylose_uptake_abc	XYLOSE_IN	output	1
arabinose_uptake_abc	ARABINOSE_EX	input	1
arabinose_uptake_abc	ARABINOSE_IN	output	1
xylan_degradation	XYLAN	input	1
xylan_degradation	XYLOSE_EX	output	1
arabinoxylan_debranching	ARABINOXYLAN	input	1
arabinoxylan_debranching	XYLAN	output	1
arabinoxylan_debranching	ARABINOSE_EX	output	2
starch_degradation	STARCH	input	1
starch_degradation	GLUCOSE	output	1
collagen_cleavage	COLLAGEN	input	1
collagen_cleavage	COLLAGEN_PEPTIDES	output	1
pyruvate_to_acetyl_coa	PYRUVATE	input	1
pyruvate_to_acetyl_coa	ACETYL_COA	output	1
acetate_interconversion	ACETYL_COA	input	1
acetate_interconversion	ACETATE	input	2
acetate_interconversion	ACETATE	output	1
acetate_interconversion	ACETYL_COA	output	2
butyrate_formation	ACETYL_COA	input	1
butyrate_formation	ACETATE	input	2
butyrate_formation	BUTYRATE	output	1
propanediol_formation	LACTALDEHYDE	input	1
propanediol_formation	PROPANEDIOL	output	1
propionate_formation_propanediol	PROPANEDIOL	input	1
propionate_formation_propanediol	PROPIONATE	output	1
propionate_formation_acrylate	LACTATE	input	1
propionate_formation_acrylate	PROPIONATE	output	1
lactate_formation	PYRUVATE	input	1
lactate_formation	LACTATE_L	output	1
lactate_racemisation	LACTATE_L	input	1
lactate_racemisation	LACTATE	input	2
lactate_racemisation	LACTATE	output	1
lactate_racemisation	LACTATE_L	output	2
malolactic_fermentation	MALATE	input	1
malolactic_fermentation	LACTATE_L	output	1
citrate_fermentation	CITRATE	input	1
citrate_fermentation	ACETATE	output	1
citrate_fermentation	PYRUVATE	output	2
ethanol_formation	ACETYL_COA	input	1
ethanol_formation	ETHANOL	output	1
acetoin_formation	PYRUVATE	input	1
acetoin_formation	ACETOIN	output	1
riboflavin_biosynthesis	GTP	input	1
riboflavin_biosynthesis	RIBULOSE_5P	input	2
riboflavin_biosynthesis	RIBOFLAVIN	output	1
paba_biosynthesis	CHORISMATE	input	1
paba_biosynthesis	PABA	output	1
folate_biosynthesis	GTP	input	1
folate_biosynthesis	PABA	input	2
folate_biosynthesis	THF	output	1
hmp_phosphate_biosynthesis	AIR	input	1
hmp_phosphate_biosynthesis	HMP_PP	output	1
thiazole_phosphate_biosynthesis	DXP	input	1
thiazole_phosphate_biosynthesis	THZ_P	output	1
thiamine_phosphate_biosynthesis	HMP_PP	input	1
thiamine_phosphate_biosynthesis	THZ_P	input	2
thiamine_phosphate_biosynthesis	TMP	output	1
thiamine_precursor_salvage	HMP	input	1
thiamine_precursor_salvage	HET	input	2
thiamine_precursor_salvage	HMP_PP	output	1
thiamine_precursor_salvage	THZ_P	output	2
pantothenate_biosynthesis	OXOISOVALERATE	input	1
pantothenate_biosynthesis	ASPARTATE	input	2
pantothenate_biosynthesis	PANTOTHENATE	output	1
plp_biosynthesis_r5p	RIBOSE_5P	input	1
plp_biosynthesis_r5p	GLUTAMINE	input	2
plp_biosynthesis_r5p	PLP	output	1
plp_biosynthesis_dxp	E4P	input	1
plp_biosynthesis_dxp	DXP	input	2
plp_biosynthesis_dxp	PLP	output	1
biotin_biosynthesis	PIMELOYL_COA	input	1
biotin_biosynthesis	BIOTIN	output	1
quinolinate_biosynthesis_aspartate	ASPARTATE	input	1
quinolinate_biosynthesis_aspartate	QUINOLINATE	output	1
namn_biosynthesis_quinolinate	QUINOLINATE	input	1
namn_biosynthesis_quinolinate	PRPP	input	2
namn_biosynthesis_quinolinate	NAMN	output	1
nad_biosynthesis_namn	NAMN	input	1
nad_biosynthesis_namn	NAD	output	1
namn_salvage_nicotinate	NICOTINATE	input	1
namn_salvage_nicotinate	PRPP	input	2
namn_salvage_nicotinate	NAMN	output	1
corrin_ring_biosynthesis	UROGEN_III	input	1
corrin_ring_biosynthesis	COBYRINATE_DIAMIDE	output	1
cobinamide_biosynthesis	COBYRINATE_DIAMIDE	input	1
cobinamide_biosynthesis	ADENOSYLCOBINAMIDE_P	output	1
cobamide_nucleotide_loop_assembly	ADENOSYLCOBINAMIDE_P	input	1
cobamide_nucleotide_loop_assembly	DMB	input	2
cobamide_nucleotide_loop_assembly	NAMN	input	3
cobamide_nucleotide_loop_assembly	COBALAMIN	output	1
dmb_biosynthesis_aerobic	FMNH2	input	1
dmb_biosynthesis_aerobic	DMB	output	1
menaquinone_biosynthesis	CHORISMATE	input	1
menaquinone_biosynthesis	MENAQUINONE	output	1
acetyl_coa_to_oxoglutarate	ACETYL_COA	input	1
acetyl_coa_to_oxoglutarate	OXALOACETATE	input	2
acetyl_coa_to_oxoglutarate	OXOGLUTARATE	output	1
oxoglutarate_to_succinate	OXOGLUTARATE	input	1
oxoglutarate_to_succinate	SUCCINATE	output	1
succinate_fumarate_interconversion	SUCCINATE	input	1
succinate_fumarate_interconversion	FUMARATE	input	2
succinate_fumarate_interconversion	SUCCINATE	output	1
succinate_fumarate_interconversion	FUMARATE	output	2
fumarate_oxaloacetate_interconversion	FUMARATE	input	1
fumarate_oxaloacetate_interconversion	OXALOACETATE	input	2
fumarate_oxaloacetate_interconversion	FUMARATE	output	1
fumarate_oxaloacetate_interconversion	OXALOACETATE	output	2
chorismate_biosynthesis	PEP	input	1
chorismate_biosynthesis	E4P	input	2
chorismate_biosynthesis	CHORISMATE	output	1
salicylate_biosynthesis	CHORISMATE	input	1
salicylate_biosynthesis	SALICYLATE	output	1
indole_3_acetate_biosynthesis	TRYPTOPHAN	input	1
indole_3_acetate_biosynthesis	INDOLE_3_ACETATE	output	1
urate_degradation	URATE	input	1
urate_degradation	ALLANTOIN	output	1
allantoin_degradation	ALLANTOIN	input	1
allantoin_degradation	GLYOXYLATE	output	1
allantoin_degradation	UREA	output	2
urea_hydrolysis	UREA	input	1
urea_hydrolysis	AMMONIUM	output	1
nitrate_assimilation	NITRATE	input	1
