mechanism_id	function_id	ordinal	required
MECH_TYPE_I_RM	DF_TYPE_I_RM_SPECIFICITY	1	1
MECH_TYPE_I_RM	DF_TYPE_I_RM_MODIFICATION	2	1
MECH_TYPE_I_RM	DF_TYPE_I_RM_RESTRICTION	3	1
MECH_TYPE_I_E_CRISPR	DF_CRISPR_I_E_SURVEILLANCE	1	1
MECH_TYPE_I_E_CRISPR	DF_CRISPR_I_E_INTERFERENCE_NUCLEASE	2	1
MECH_TYPE_I_E_CRISPR	DF_CRISPR_ADAPTATION	3	0
MECH_MER_HG	DF_MER_HG_REDUCTION	1	1
MECH_MER_HG	DF_MER_HG_DELIVERY	2	0
MECH_MER_HG	DF_MER_HG_INDUCTION	3	0
MECH_MER_HG	DF_MER_ORGANOMERCURIAL_LYSIS	4	0
MECH_MG_GLYOXALASE	DF_MG_GLYOXALASE_I	1	1
MECH_MG_GLYOXALASE	DF_MG_GLYOXALASE_II	2	1
MECH_SUPEROXIDE_COMPLETE	DF_SUPEROXIDE_REMOVAL	1	1
MECH_SUPEROXIDE_COMPLETE	DF_PEROXIDE_REMOVAL	2	1
