reaction_id	namespace	accession
RHEA:14905	KEGG_REACTION	R01072
RHEA:14905	EC	2.4.2.14
RHEA:17453	KEGG_REACTION	R04144
RHEA:17453	EC	6.3.4.13
RHEA:15053	KEGG_REACTION	R04325
RHEA:15053	EC	2.1.2.2
RHEA:24829	KEGG_REACTION	R06974
RHEA:24829	EC	6.3.1.21
RHEA:17129	KEGG_REACTION	R04463
RHEA:17129	EC	6.3.5.3
RHEA:23032	KEGG_REACTION	R04208
RHEA:23032	EC	6.3.3.1
RHEA:10792	KEGG_REACTION	R04209
RHEA:10792	EC	4.1.1.21
RHEA:19317	KEGG_REACTION	R07404
RHEA:19317	EC	6.3.4.18
RHEA:13193	KEGG_REACTION	R07405
RHEA:13193	EC	5.4.99.18
RHEA:22628	KEGG_REACTION	R04591
RHEA:22628	EC	6.3.2.6
RHEA:23920	KEGG_REACTION	R04559
RHEA:23920	EC	4.3.2.2
RHEA:22192	KEGG_REACTION	R04560
RHEA:22192	EC	2.1.2.3
RHEA:24836	KEGG_REACTION	R06975
RHEA:24836	EC	6.3.4.23
RHEA:18445	KEGG_REACTION	R01127
RHEA:18445	EC	3.5.4.10
RHEA:15753	KEGG_REACTION	R01135
RHEA:15753	EC	6.3.4.4
RHEA:16853	KEGG_REACTION	R01083
RHEA:16853	EC	4.3.2.2
RHEA:11708	KEGG_REACTION	R01130
RHEA:11708	EC	1.1.1.205
RHEA:11680	KEGG_REACTION	R01231
RHEA:11680	EC	6.3.5.2
RHEA:18633	KEGG_REACTION	R00575
RHEA:18633	EC	6.3.5.5
RHEA:20013	KEGG_REACTION	R01397
RHEA:20013	EC	2.1.3.2
RHEA:24296	KEGG_REACTION	R01993
RHEA:24296	EC	3.5.2.3
RHEA:30059	KEGG_REACTION	R01867
RHEA:30059	EC	1.3.98.1
RHEA:30187	KEGG_REACTION	R01868
RHEA:30187	EC	1.3.5.2
RHEA:13513	KEGG_REACTION	R01869
RHEA:13513	EC	1.3.1.14
RHEA:10380	KEGG_REACTION	R01870
RHEA:10380	EC	2.4.2.10
RHEA:11596	KEGG_REACTION	R00965
RHEA:11596	EC	4.1.1.23
RHEA:26426	KEGG_REACTION	R00573
RHEA:26426	EC	6.3.4.2
RHEA:12641	KEGG_REACTION	R01513
RHEA:12641	EC	1.1.1.95
RHEA:14329	KEGG_REACTION	R04173
RHEA:14329	EC	2.6.1.52
RHEA:21208	KEGG_REACTION	R00582
RHEA:21208	EC	3.1.3.3
RHEA:15481	KEGG_REACTION	R00945
RHEA:15481	EC	2.1.2.1
RHEA:23776	KEGG_REACTION	R00480
RHEA:23776	EC	2.7.2.4
RHEA:24284	KEGG_REACTION	R02291
RHEA:24284	EC	1.2.1.11
RHEA:15757	KEGG_REACTION	R01773
RHEA:15757	EC	1.1.1.3
