universe_id	filter_key	value
carbohydrate_degradation	mode	catabolic
carbohydrate_degradation	facet:substrate_class	polysaccharide
carbohydrate_degradation	facet:substrate_class	monosaccharide
carbohydrate_degradation	facet:substrate_class	amino_sugar
carbohydrate_degradation	facet:substrate_class	uronate
plant_fibre_utilisation	facet:physiological_role	fibre_degradation
host_glycan_foraging	facet:physiological_role	host_glycan_foraging
carbon_acquisition	facet:physiological_role	carbon_acquisition
aromatic_catabolism	facet:physiological_role	aromatic_ring_catabolism
nitrogen_acquisition	facet:physiological_role	nitrogen_acquisition
sulfur_acquisition	facet:physiological_role	sulfur_acquisition
fermentation_products	facet:physiological_role	fermentative_end_product
short_chain_fatty_acids	facet:substrate_class	short_chain_fatty_acid
vitamin_biosynthesis	facet:physiological_role	vitamin_biosynthesis
released_bioactive_products	facet:physiological_role	released_bioactive_product
chemical_detoxification	type	defense
chemical_detoxification	facet:defense_class	chemical_detoxification
shikimate_derived_biosynthesis	facet:biosynthetic_family	shikimate_derived_aromatic
biomass_essential_anabolism	mode	anabolic
biomass_essential_anabolism	auxotrophy_indicator	true
amino_acid_autonomy	mode	anabolic
amino_acid_autonomy	facet:substrate_class	amino_acid
amino_acid_autonomy	auxotrophy_indicator	true
nucleotide_autonomy	mode	anabolic
nucleotide_autonomy	facet:substrate_class	nucleotide
nucleotide_autonomy	auxotrophy_indicator	true
cofactor_autonomy	mode	anabolic
cofactor_autonomy	facet:substrate_class	cofactor
cofactor_autonomy	auxotrophy_indicator	true
extracellular_public_goods	resource_strategy	public_good
nutrient_uptake	resource_strategy	uptake
