universe_id	label	description	bounded	interpretation
carbohydrate_degradation	Carbohydrate degradation	Catabolic GIFTs acting on polysaccharides, neutral monosaccharides, amino sugars or uronates.	0	Measures the supported repertoire in the current curated carbohydrate catalogue; it is not total carbohydrate metabolism, substrate use, growth or activity.
plant_fibre_utilisation	Plant fibre utilisation	GIFTs curated with a fibre-degradation role, including polymer processing, uptake and intracellular catabolism of released sugars.	0	Measures encoded fibre-associated capabilities; it does not show that fibre is available, consumed or degraded in situ.
host_glycan_foraging	Host glycan foraging	GIFTs acting on host-derived glycans or the sugars released from them.	0	Current membership covers released-sugar catabolism rather than complete mucin or host-glycan depolymerisation.
carbon_acquisition	Carbon acquisition	GIFTs that convert an acquired substrate into central carbon metabolism.	0	Measures a curated catabolic repertoire, not carbon-use efficiency, growth yield, flux or environmental substrate availability.
aromatic_catabolism	Aromatic catabolism	GIFTs that activate, cleave or funnel aromatic rings toward central metabolism.	0	Counts independently meaningful aromatic-catabolic capabilities; it does not prove complete mineralisation unless the required connected GIFTs are all supported.
nitrogen_acquisition	Nitrogen acquisition	GIFTs whose curated role makes nitrogen available from inorganic or organic sources.	0	Measures encoded acquisition chemistry, not nitrogen limitation, uptake rate, assimilation rate or growth.
sulfur_acquisition	Sulfur acquisition	GIFTs whose curated role makes sulfur available from inorganic or organic sources.	0	Measures encoded acquisition chemistry, not sulfur limitation, uptake rate, assimilation rate or growth.
fermentation_products	Fermentation products	GIFTs that form a curated terminal fermentation product.	0	Measures the repertoire of encoded product-forming chemistry; it does not establish fermentation, secretion, product concentration or flux.
short_chain_fatty_acids	Short-chain fatty acids	GIFTs whose curated substrate or product class is a short-chain fatty acid.	0	Covers formation and interconversion capabilities and must not be read as an SCFA production rate or concentration.
vitamin_biosynthesis	Vitamin biosynthesis	GIFTs participating in curated vitamin and cofactor biosynthetic capabilities.	0	Richness counts atomic capabilities, not the number of complete vitamins a genome can synthesize from environmental precursors.
released_bioactive_products	Released bioactive products	GIFTs whose chemistry forms a product curated as potentially bioactive when released.	0	The GIFT establishes product-forming chemistry only; release, concentration and an effect on a host or community are not inferred.
chemical_detoxification	Chemical detoxification	Defense GIFTs implementing a complete curated chemical-detoxification mechanism.	0	Measures encoded mechanisms, not exposure, expression, survival or resistance under a particular condition.
shikimate_derived_biosynthesis	Shikimate-derived biosynthesis	Biosynthetic GIFTs whose product carbon skeleton is derived from the shikimate pathway.	0	Membership describes biosynthetic family provenance; richness does not prove that every connected product pathway is complete.
biomass_essential_anabolism	biomass-essential anabolic GIFTs	Anabolic GIFTs whose declared output is a curated biomass-essential anchor.	1	Coverage is the fraction of assessable curated biomass-essential anabolic capabilities supported, not proof of growth without supplementation.
amino_acid_autonomy	Amino-acid autonomy	Biomass-essential anabolic GIFTs in the amino-acid substrate class.	1	Coverage measures supported curated amino-acid anabolic capabilities, not prototrophic growth in a specified medium.
nucleotide_autonomy	Nucleotide autonomy	Biomass-essential anabolic GIFTs in the nucleotide substrate class.	1	Coverage measures supported curated nucleotide anabolic capabilities, not growth, nucleotide pool size or salvage independence.
cofactor_autonomy	Cofactor autonomy	Biomass-essential anabolic GIFTs in the cofactor substrate class.	1	Coverage measures supported curated cofactor anabolic capabilities, not cofactor sufficiency, uptake independence or growth.
extracellular_public_goods	Extracellular processing outputs	Metabolic GIFTs derived as consuming and releasing extracellular anchors.	0	Identifies encoded extracellular processing interfaces; public-good use, sharing and ecological benefit are not inferred.
nutrient_uptake	Nutrient uptake	Metabolic GIFTs derived as moving an extracellular anchor to a cytoplasmic anchor.	0	Measures curated uptake capabilities, not transport rate, substrate availability or uptake activity.
